Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
131,Brandon Lowe*,30,TBR,AL,0.2,21,87,83,6,18,0,0,3,13,0,1,3,23,.217,.241,.325,.567,64,.243,57,27,0,0,0,1,0,*4/H,,lowebr01
132,Luis Rengifo#,28,LAA,AL,-0.5,23,87,82,8,17,5,0,1,7,0,1,4,13,.207,.241,.305,.546,56,.236,48,25,2,0,0,1,0,*5/4H,,rengilu01
133,Ben Rice*,26,NYY,AL,0.9,22,87,73,17,21,3,1,6,11,2,1,12,20,.288,.402,.603,1.005,187,.430,185,44,2,2,0,0,0,*D/3H,,ricebe01
134,Maikel Garcia,25,KCR,AL,0.5,23,86,76,8,22,5,0,2,10,3,4,9,13,.289,.360,.434,.795,129,.334,126,33,1,0,0,1,0,5/48DH69,,garcima01
135,Tommy Pham,37,PIT,NL,0.1,23,86,76,7,14,3,0,0,6,3,0,8,23,.184,.267,.224,.491,39,.253,43,17,5,1,0,1,1,*7/9H,,phamth01
136,J.T. Realmuto,34,PHI,NL,0.3,21,86,77,6,17,3,1,1,7,4,0,9,25,.221,.302,.325,.627,76,.302,77,25,5,0,0,0,1,*2/D,,realmjt01
137,Keibert Ruiz#,26,WSN,NL,0.7,21,86,80,10,26,4,0,2,13,0,1,4,8,.325,.372,.450,.822,134,.371,144,36,1,2,0,0,0,*2,,ruizke01
138,Max Muncy*,34,LAD,NL,0.3,23,85,73,4,13,5,0,0,4,0,0,10,31,.178,.282,.247,.529,54,.249,54,18,0,1,0,1,0,*5/H,,muncyma01
139,Jordan Westburg,26,BAL,AL,0.2,20,85,79,12,15,2,1,4,5,0,0,5,18,.190,.247,.392,.639,88,.289,91,31,1,1,0,0,0,/54D,,westbjo01
140,Michael Massey*,27,KCR,AL,-0.9,22,84,79,3,15,3,0,0,7,0,0,2,16,.190,.214,.228,.442,28,.193,15,18,1,1,0,2,0,*4/DH,,massemi02
141,Corey Seager*,31,TEX,AL,1.4,21,84,77,8,22,2,0,4,6,0,0,7,15,.286,.345,.468,.813,139,.352,135,36,1,0,0,0,1,*6/D,,seageco01
142,Alec Burleson*,26,STL,NL,-0.1,24,82,76,7,21,3,0,0,6,2,0,6,12,.276,.329,.316,.645,83,.292,75,24,2,0,0,0,1,D3/H,,burleal01
143,Luis García Jr.*,25,WSN,NL,-0.4,21,82,74,12,16,3,0,1,7,3,0,6,9,.216,.268,.297,.566,62,.260,53,22,0,0,0,2,0,*4/H,,garcilu04
144,Ceddanne Rafaela,24,BOS,AL,0.8,23,82,74,13,17,1,1,1,10,6,0,6,16,.230,.305,.311,.616,77,.309,81,23,0,2,0,0,0,*8/H,,rafaece01
